date,nav
2021-09-01,4.946
2021-09-02,4.9453
2021-09-03,4.9189
2021-09-06,5.011
2021-09-07,5.071
2021-09-08,5.0499
2021-09-09,5.0473
2021-09-10,5.0926
2021-09-13,5.0694
2021-09-14,4.9946
2021-09-15,4.9438
2021-09-16,4.8843
2021-09-17,4.9335
2021-09-22,4.8989
2021-09-23,4.9306
2021-09-24,4.9274
2021-09-27,4.9544
2021-09-28,4.961
2021-09-29,4.9108
2021-09-30,4.9431
2021-10-08,5.0068
2021-10-11,5.0131
2021-10-12,4.9586
2021-10-13,5.016
2021-10-14,4.9892
2021-10-15,5.009
2021-10-18,4.9499
2021-10-19,4.9992
2021-10-20,4.9862
2021-10-21,5.0039
2021-10-22,5.0375
2021-10-25,5.0594
2021-10-26,5.0425
2021-10-27,4.9761
2021-10-28,4.9419
2021-10-29,4.9875
2021-11-01,4.9694
2021-11-02,4.9175
2021-11-03,4.8992
2021-11-04,4.947
2021-11-05,4.9206
2021-11-08,4.9259
2021-11-09,4.9246
2021-11-10,4.8987
2021-11-11,4.9775
2021-11-12,4.9673
2021-11-15,4.9615
2021-11-16,4.9625
2021-11-17,4.9652
2021-11-18,4.9164
2021-11-19,4.9695
2021-11-22,4.9915
2021-11-23,4.9923
2021-11-24,4.996
2021-11-25,4.9758
2021-11-26,4.9387
2021-11-29,4.9301
2021-11-30,4.9103
2021-12-01,4.9221
2021-12-02,4.9346
2021-12-03,4.9798
2021-12-06,4.9703
2021-12-07,4.9983
2021-12-08,5.073
2021-12-09,5.1556
2021-12-10,5.1308
2021-12-13,5.1587
2021-12-14,5.1247
2021-12-15,5.0805
2021-12-16,5.1094
2021-12-17,5.029
2021-12-20,4.9551
2021-12-21,4.9884
2021-12-22,4.9901
2021-12-23,5.0236
2021-12-24,4.9965
2021-12-27,4.9943
2021-12-28,5.0312
2021-12-29,4.9584
2021-12-30,4.9965
2021-12-31,5.0162
2022-01-04,4.9935
2022-01-05,4.9435
2022-01-06,4.8932
2022-01-07,4.8981
2022-01-10,4.919
2022-01-11,4.8724
2022-01-12,4.9212
2022-01-13,4.8413
2022-01-14,4.8014
2022-01-17,4.8419
2022-01-18,4.8884
2022-01-19,4.7802
2022-01-20,4.823
2022-01-21,4.7785
2022-01-24,4.7855
2022-01-25,4.6779
2022-01-26,4.7114
2022-01-27,4.6191
2022-01-28,4.5631
2022-02-07,4.6322
2022-02-08,4.6068
2022-02-09,4.6496
2022-02-10,4.6377
2022-02-11,4.5994
2022-02-14,4.5496
2022-02-15,4.5977
2022-02-16,4.6156
2022-02-17,4.6269
2022-02-18,4.6487
2022-02-21,4.6314
2022-02-22,4.5714
2022-02-23,4.6202
2022-02-24,4.5266
2022-02-25,4.5709
2022-02-28,4.5786
2022-03-01,4.6167
2022-03-02,4.5757
2022-03-03,4.5487
2022-03-04,4.4936
2022-03-07,4.3498
2022-03-08,4.2629
2022-03-09,4.223
2022-03-10,4.2902
2022-03-11,4.3041
2022-03-14,4.1731
2022-03-15,3.9824
2022-03-16,4.1542
2022-03-17,4.2348
2022-03-18,4.2627
2022-03-21,4.2551
2022-03-22,4.2516
2022-03-23,4.2733
2022-03-24,4.2482
2022-03-25,4.1718
2022-03-28,4.1454
2022-03-29,4.1312
2022-03-30,4.251
2022-03-31,4.2196
2022-04-01,4.2728
2022-04-06,4.2596
2022-04-07,4.2056
2022-04-08,4.2282
2022-04-11,4.0977
2022-04-12,4.1774
2022-04-13,4.1383
2022-04-14,4.1897
2022-04-15,4.1863
2022-04-18,4.1637
2022-04-19,4.1323
2022-04-20,4.0684
2022-04-21,3.9937
2022-04-22,4.0112
2022-04-25,3.8141
2022-04-26,3.7831
2022-04-27,3.8935
2022-04-28,3.9192
2022-04-29,4.015
2022-05-05,4.0087
2022-05-06,3.9075
2022-05-09,3.8759
2022-05-10,3.9188
2022-05-11,3.9752
2022-05-12,3.9573
2022-05-13,3.9873
2022-05-16,3.9553
2022-05-17,4.0045
2022-05-18,3.9907
2022-05-19,3.9986
2022-05-20,4.0765
2022-05-23,4.0526
2022-05-24,3.9587
2022-05-25,3.9824
2022-05-26,3.9954
2022-05-27,4.0039
2022-05-30,4.0331
2022-05-31,4.0957
2022-06-01,4.0891
2022-06-02,4.0982
2022-06-06,4.1747
2022-06-07,4.1878
2022-06-08,4.2294
2022-06-09,4.1865
2022-06-10,4.2491
2022-06-13,4.1991
2022-06-14,4.2316
2022-06-15,4.2891
2022-06-16,4.2637
2022-06-17,4.3232
2022-06-20,4.3479
2022-06-21,4.345
2022-06-22,4.291
2022-06-23,4.3651
2022-06-24,4.4173
2022-06-27,4.4672
2022-06-28,4.5141
2022-06-29,4.448
2022-06-30,4.5163
2022-07-01,4.4975
2022-07-04,4.5264
2022-07-05,4.5195
2022-07-06,4.4549
2022-07-07,4.4756
2022-07-08,4.4644
2022-07-11,4.3917
2022-07-12,4.3558
2022-07-13,4.364
2022-07-14,4.3654
2022-07-15,4.302
2022-07-18,4.3457
2022-07-19,4.3225
2022-07-20,4.3371
2022-07-21,4.2922
2022-07-22,4.2943
2022-07-25,4.2688
2022-07-26,4.3027
2022-07-27,4.2815
2022-07-28,4.283
2022-07-29,4.2278
2022-08-01,4.2464
2022-08-02,4.1642
2022-08-03,4.1238
2022-08-04,4.1584
2022-08-05,4.2178
2022-08-08,4.2091
2022-08-09,4.2171
2022-08-10,4.17
2022-08-11,4.2551
2022-08-12,4.2533
2022-08-15,4.2474
2022-08-16,4.2394
2022-08-17,4.2791
2022-08-18,4.2419
2022-08-19,4.213
2022-08-22,4.2436
2022-08-23,4.2235
2022-08-24,4.144
2022-08-25,4.1794
2022-08-26,4.1729
2022-08-29,4.1543
2022-08-30,4.1405
2022-08-31,4.1437
2022-09-01,4.1084
2022-09-02,4.0875
2022-09-05,4.079
2022-09-06,4.1163
2022-09-07,4.1192
2022-09-08,4.1019
2022-09-09,4.1587
2022-09-13,4.176
2022-09-14,4.1297
2022-09-15,4.0912
2022-09-16,3.996
2022-09-19,3.9916
2022-09-20,3.9965
2022-09-21,3.9675
2022-09-22,3.9325
2022-09-23,3.9192
2022-09-26,3.8994
2022-09-27,3.9553
2022-09-28,3.8919
2022-09-29,3.8903
2022-09-30,3.8679
2022-10-10,3.7833
2022-10-11,3.7902
2022-10-12,3.8466
2022-10-13,3.8156
2022-10-14,3.906
2022-10-17,3.9101
2022-10-18,3.9022
2022-10-19,3.84
2022-10-20,3.8201
2022-10-21,3.8079
2022-10-24,3.6976
2022-10-25,3.6919
2022-10-26,3.7203
2022-10-27,3.695
2022-10-28,3.6043
2022-10-31,3.5707
2022-11-01,3.6968
2022-11-02,3.7407
2022-11-03,3.71
2022-11-04,3.8299
2022-11-07,3.8377
2022-11-08,3.812
2022-11-09,3.7769
2022-11-10,3.7483
2022-11-11,3.8518
2022-11-14,3.8567
2022-11-15,3.9279
2022-11-16,3.8961
2022-11-17,3.8795
2022-11-18,3.8628
2022-11-21,3.8303
2022-11-22,3.8307
2022-11-23,3.8349
2022-11-24,3.8181
2022-11-25,3.8373
2022-11-28,3.794
2022-11-29,3.9099
2022-11-30,3.9148
2022-12-01,3.957
2022-12-02,3.9329
2022-12-05,4.009
2022-12-06,4.0304
2022-12-07,4.0207
2022-12-08,4.0213
2022-12-09,4.059
2022-12-12,4.0133
2022-12-13,4.0056
2022-12-14,4.0175
2022-12-15,4.0144
2022-12-16,4.0169
2022-12-19,3.9551
2022-12-20,3.8902
2022-12-21,3.8917
2022-12-22,3.8972
2022-12-23,3.8893
2022-12-26,3.9046
2022-12-27,3.9523
2022-12-28,3.9355
2022-12-29,3.9207
2022-12-30,3.9359
2022-12-31,3.9358
2023-01-03,3.9521
2023-01-04,3.9572
2023-01-05,4.0335
2023-01-06,4.0458
2023-01-09,4.0782
2023-01-10,4.0824
2023-01-11,4.0751
2023-01-12,4.0828
2023-01-13,4.14
2023-01-16,4.1399
2023-01-17,4.1389
2023-01-18,4.1319
2023-01-19,4.1573
2023-01-20,4.1828
2023-01-30,4.2019
2023-01-31,4.1577
2023-02-01,4.1962
2023-02-02,4.1813
2023-02-03,4.1415
2023-02-06,4.0864
2023-02-07,4.0936
2023-02-08,4.0755
2023-02-09,4.13
2023-02-10,4.1054
2023-02-13,4.1422
2023-02-14,4.1437
2023-02-15,4.122
2023-02-16,4.0919
2023-02-17,4.033
2023-02-20,4.1313
2023-02-21,4.1418
2023-02-22,4.1046
2023-02-23,4.1012
2023-02-24,4.0587
2023-02-27,4.0421
2023-02-28,4.0674
2023-03-01,4.1247
2023-03-02,4.1155
2023-03-03,4.1282
2023-03-06,4.1065
2023-03-07,4.0463
2023-03-08,4.0313
2023-03-09,4.0173
2023-03-10,3.9646
2023-03-13,4.0057
2023-03-14,3.982
2023-03-15,3.9842
2023-03-16,3.9365
2023-03-17,3.956
2023-03-20,3.9363
2023-03-21,3.9794
2023-03-22,3.9962
2023-03-23,4.0358
2023-03-24,4.024
2023-03-27,4.0093
2023-03-28,3.9963
2023-03-29,4.003
2023-03-30,4.0353
2023-03-31,4.0478
2023-04-03,4.0874
2023-04-04,4.0996
2023-04-06,4.0934
2023-04-07,4.1199
2023-04-10,4.1012
2023-04-11,4.0964
2023-04-12,4.0937
2023-04-13,4.0654
2023-04-14,4.0886
2023-04-17,4.1455
2023-04-18,4.1581
2023-04-19,4.1207
2023-04-20,4.1092
2023-04-21,4.0291
2023-04-24,3.9786
2023-04-25,3.9586
2023-04-26,3.9562
2023-04-27,3.9855
2023-04-28,4.0258
2023-05-04,4.0267
2023-05-05,4.0131
2023-05-08,4.0584
2023-05-09,4.024
2023-05-10,3.9931
2023-05-11,3.987
2023-05-12,3.9346
2023-05-15,3.9954
2023-05-16,3.9753
2023-05-17,3.9573
2023-05-18,3.9535
2023-05-19,3.943
2023-05-22,3.9676
2023-05-23,3.912
2023-05-24,3.8581
2023-05-25,3.8495
2023-05-26,3.8509
2023-05-29,3.8343
2023-05-30,3.8381
2023-05-31,3.8011
2023-06-01,3.8122
2023-06-02,3.8673
2023-06-05,3.8495
2023-06-06,3.814
2023-06-07,3.7962
2023-06-08,3.8271
2023-06-09,3.8452
2023-06-12,3.8533
2023-06-13,3.8753
2023-06-14,3.8795
2023-06-15,3.9421
2023-06-16,3.9809
2023-06-19,3.9523
2023-06-20,3.9466
2023-06-21,3.8898
2023-06-26,3.8363
2023-06-27,3.8738
2023-06-28,3.8725
2023-06-29,3.8547
2023-06-30,3.8804
2023-07-03,3.9313
2023-07-04,3.9374
2023-07-05,3.9088
2023-07-06,3.8836
2023-07-07,3.8672
2023-07-10,3.8857
2023-07-11,3.9114
2023-07-12,3.8899
2023-07-13,3.9518
2023-07-14,3.9539
2023-07-17,3.9268
2023-07-18,3.9171
2023-07-19,3.9139
2023-07-20,3.8868
2023-07-21,3.8878
2023-07-24,3.8708
2023-07-25,3.9822
2023-07-26,3.9745
2023-07-27,3.9697
2023-07-28,4.0629
2023-07-31,4.0849
2023-08-01,4.0679
2023-08-02,4.0396
2023-08-03,4.075
2023-08-04,4.0911
2023-08-07,4.06
2023-08-08,4.0494
2023-08-09,4.0382
2023-08-10,4.0468
2023-08-11,3.9557
2023-08-14,3.9268
2023-08-15,3.9172
2023-08-16,3.8887
2023-08-17,3.9014
2023-08-18,3.8539
2023-08-21,3.7987
2023-08-22,3.8278
2023-08-23,3.7655
2023-08-24,3.7925
2023-08-25,3.7807
2023-08-28,3.8252
2023-08-29,3.863
2023-08-30,3.861
2023-08-31,3.8376
2023-09-01,3.8645
2023-09-04,3.9228
2023-09-05,3.8937
2023-09-06,3.8852
2023-09-07,3.8309
2023-09-08,3.8121
2023-09-11,3.8401
2023-09-12,3.833
2023-09-13,3.8086
2023-09-14,3.8054
2023-09-15,3.7806
2023-09-18,3.7998
2023-09-19,3.7925
2023-09-20,3.778
2023-09-21,3.7442
2023-09-22,3.8116
2023-09-25,3.7867
2023-09-26,3.7647
2023-09-27,3.7724
2023-09-28,3.7612
2023-10-09,3.7555
2023-10-10,3.7274
2023-10-11,3.7378
2023-10-12,3.7732
2023-10-13,3.7336
2023-10-16,3.6963
2023-10-17,3.7091
2023-10-18,3.6798
2023-10-19,3.6014
2023-10-20,3.5779
2023-10-23,3.5406
2023-10-24,3.5537
2023-10-25,3.5735
2023-10-26,3.5833
2023-10-27,3.6327
2023-10-30,3.6541
2023-10-31,3.6426
2023-11-01,3.6411
2023-11-02,3.624
2023-11-03,3.6543
2023-11-06,3.7031
2023-11-07,3.6901
2023-11-08,3.6811
2023-11-09,3.6829
2023-11-10,3.656
2023-11-13,3.6486
2023-11-14,3.6511
2023-11-15,3.6767
2023-11-16,3.6413
2023-11-17,3.6368
2023-11-20,3.6451
2023-11-21,3.65
2023-11-22,3.613
2023-11-23,3.6304
2023-11-24,3.6063
2023-11-27,3.5796
2023-11-28,3.5862
2023-11-29,3.5556
2023-11-30,3.5636
2023-12-01,3.55
2023-12-04,3.5266
2023-12-05,3.4594
2023-12-06,3.4647
2023-12-07,3.4564
2023-12-08,3.4668
2023-12-11,3.4865
2023-12-12,3.4942
2023-12-13,3.4359
2023-12-14,3.4179
2023-12-15,3.4073
2023-12-18,3.3947
2023-12-19,3.3994
2023-12-20,3.3654
2023-12-21,3.3993
2023-12-22,3.4057
2023-12-25,3.4161
2023-12-26,3.393
2023-12-27,3.4047
2023-12-28,3.4842
2023-12-29,3.501
2023-12-31,3.5009
2024-01-02,3.4553
2024-01-03,3.447
2024-01-04,3.415
2024-01-05,3.3967
2024-01-08,3.3527
2024-01-09,3.3592
2024-01-10,3.3436
2024-01-11,3.3625
2024-01-12,3.3508
2024-01-15,3.3472
2024-01-16,3.3672
2024-01-17,3.2948
2024-01-18,3.2705
2024-01-19,3.2659
2024-01-22,3.215
2024-01-23,3.228
2024-01-24,3.2729
2024-01-25,3.3387
2024-01-26,3.3299
2024-01-29,3.3002
2024-01-30,3.2416
2024-01-31,3.2121
2024-02-01,3.2141
2024-02-02,3.1759
2024-02-05,3.1964
2024-02-06,3.307
2024-02-07,3.3386
2024-02-08,3.36
2024-02-19,3.3979
2024-02-20,3.405
2024-02-21,3.4511
2024-02-22,3.4806
2024-02-23,3.4836
2024-02-26,3.4471
2024-02-27,3.4882
2024-02-28,3.4441
2024-02-29,3.5091
2024-03-01,3.5308
2024-03-04,3.5335
2024-03-05,3.5579
2024-03-06,3.5436
2024-03-07,3.5223
2024-03-08,3.5373
2024-03-11,3.5813
2024-03-12,3.5895
2024-03-13,3.5644
2024-03-14,3.5542
2024-03-15,3.5618
2024-03-18,3.595
2024-03-19,3.5692
2024-03-20,3.5768
2024-03-21,3.5725
2024-03-22,3.5364
2024-03-25,3.5172
2024-03-26,3.5351
2024-03-27,3.4944
2024-03-28,3.5123
2024-03-29,3.5288
2024-04-01,3.5866
2024-04-02,3.5716
2024-04-03,3.5589
2024-04-08,3.5274
2024-04-09,3.5243
2024-04-10,3.4956
2024-04-11,3.4951
2024-04-12,3.4667
2024-04-15,3.5394
2024-04-16,3.5017
2024-04-17,3.5552
2024-04-18,3.5593
2024-04-19,3.5319
2024-04-22,3.5218
